#Sent_id=1				_				_	
#text=புராணங்கள் , கட்டுக்கதைகள் மற்றும் நம்பிக்கைகள் இந்திய வாழ்க்கை முறையின் ஒரு பகுதி ஆகும் .				_				_	
1	purANafkalY	purANam	NOUN	_	Case=Nom|Number=Plur	11	nsubj	11:nsubj	-
2	,		PUNCT	_	###None	1	punct	1:punct	-
3	kattukkawEkalY	kattukkawE	NOUN	_	Case=Nom|Number=Plur	11	nsubj	11:nsubj	-
4	marYrYum	marYrYum	CCONJ	_	###None	11	cc	11:cc, 10:cc, 8:cc, 7:cc, 6:cc, 5:cc	-
5	nampikkEkalY	nampikkE	NOUN	_	Case=Nom|Number=Plur	11	nsubj	11:nsubj	-
6	inwiya	inwiyanY	PROPN	_	Number=Sing	7	nmod	10:nmod, 7:nmod	-
7	vAlYYkkE	vAlYYkkE	NOUN	_	Case=Nom|Number=Sing	11	nsubj	11:nsubj	-
8	murYEyinY	murYE	NOUN	_	Case=Gen|Number=Sing	10	nmod	10:nmod_poss, 10:nmod	-
9	oVru	oVnYrYu	DET	_	###None	10	det	10:det	-
10	pakuwi	pakuwi	NOUN	_	Case=Nom|Number=Sing	11	nsubj	11:nsubj	-
11	Akum	Aku	VERB	_	Gender=Neut|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin	0	root	0:root	-
12	.	.	PUNCT	_	###None	11	punct	11:punct	-
